127.0.0.1 - - [15/Nov/2023:20:05:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:05:56 +0900] "GET /semi_team/login.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:05:56 +0900] "GET /semi_team/css/ms_sans_serif.woff2 HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:05:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:04 +0900] "POST /semi_team/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:04 +0900] "GET /semi_team/playList.jsp HTTP/1.1" 200 184306
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:04 +0900] "GET /semi_team/img/Save.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:04 +0900] "GET /semi_team/css/%ED%95%98%EC%9D%80%EC%96%B8%EB%8B%88.css HTTP/1.1" 200 6528
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:04 +0900] "GET /semi_team/css/ms_sans_serif.woff2 HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:04 +0900] "GET /semi_team/css/ms_sans_serif_bold.woff2 HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:05 +0900] "GET /semi_team/main.css HTTP/1.1" 200 6114
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:05 +0900] "GET /semi_team/css/ms_sans_serif_bold.woff2 HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:05 +0900] "GET /semi_team/css/ms_sans_serif.woff2 HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:05 +0900] "GET /semi_team/mypageMain.jsp HTTP/1.1" 200 316992
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:06 +0900] "GET /semi_team/playList.jsp HTTP/1.1" 200 184306
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:06 +0900] "GET /semi_team/img/Save.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:06 +0900] "GET /semi_team/css/ms_sans_serif.woff2 HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:06 +0900] "GET /semi_team/css/ms_sans_serif_bold.woff2 HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:07 +0900] "GET /semi_team/music_search.jsp HTTP/1.1" 200 4327
0:0:0:0:0:0:0:1 - - [15/Nov/2023:20:06:07 +0900] "GET /semi_team/music_search.jsp HTTP/1.1" 200 4327
